Place,Year-Month,Number of Registered Births,Number of Registered Marriages,Index: Focus - Murder,Index: Focus - Homicide,Index: Focus - Physical Injury,Index: Focus - Rape,Index: Focus - Robbery,Index: Focus - Theft,Index: Focus - Carnapping MV,Index: Focus - Carnapping MC,Index - Special Complex Crimes,Non-Index - Violation of Special Laws,Non-Index - Other Crimes,Non-Index - Attempted Stages Focus Crimes,Non-Index - Frustrated Stages Focus Crimes,PSI: RIR - Homicide,PSI: RIR - Physical Injury,PSI: RIR - Damage to Property,PSI: RIR - Vehicular Accident,PSI: Quasi - Homicide,PSI: Quasi - Physical Injury,PSI: Quasi - Damage to Property,PSI: Quasi - Other Offenses,Average Monthly Crime Rate,Percent Urban
NATIONAL CAPITAL REGION (NCR),2022-01,13254,2822,23,14,58,84,113,219,12,27,4,2036,426,32,55,44,1036,2627,3707,3,6,8,17,46.16,100.0
CORDILLERA ADMINISTRATIVE REGION (CAR),2022-01,2155,753,2,1,10,10,7,16,0,5,0,65,35,2,7,8,52,100,160,0,1,1,2,7.28,33.3
REGION I (ILOCOS REGION),2022-01,5525,2096,8,2,16,16,7,26,1,2,0,264,67,13,21,32,133,99,264,1,1,1,3,12.75,25.5
REGION II (CAGAYAN VALLEY),2022-01,4001,971,8,0,7,22,4,10,1,2,0,257,40,11,14,31,88,104,223,0,2,2,4,15.77,19.5
REGION III (CENTRAL LUZON),2022-01,14213,3557,24,6,26,52,50,99,1,22,3,1086,222,23,34,53,486,695,1234,1,13,10,24,23.38,66.3
REGION IV-A (CALABARZON),2022-01,18273,4883,54,8,47,91,61,131,5,33,4,1794,310,30,69,59,425,979,1463,0,2,7,9,25.73,70.5
REGION IV-B (MIMAROPA),2022-01,3732,824,10,4,2,14,6,9,0,3,1,146,37,5,17,16,40,27,83,2,1,3,6,10.45,35.2
REGION V (BICOL REGION),2022-01,8150,2019,31,1,16,39,23,42,0,5,1,372,84,12,19,17,225,336,578,1,6,4,11,19.22,23.8
REGION VI (WESTERN VISAYAS),2022-01,7485,2369,35,11,33,32,24,49,0,1,0,408,169,23,43,40,281,498,819,2,7,9,18,19.94,42.2
REGION VII (CENTRAL VISAYAS),2022-01,9934,3083,30,4,85,33,32,89,1,6,2,1071,207,18,43,25,597,683,1305,3,12,7,22,35.98,51.9
REGION VIII (EASTERN VISAYAS),2022-01,5381,1358,12,4,11,15,12,26,0,0,0,295,43,13,22,22,96,103,221,3,1,0,4,13.78,14.7
REGION IX (ZAMBOANGA PENINSULA),2022-01,4533,1356,20,1,9,28,7,22,0,7,1,183,36,6,21,21,110,97,228,1,0,0,1,14.18,38.4
