PLACE OF USUAL RESIDENCE,Type of Place,Year,Total,January,February,March,April,May,June,July,August,September,October,November,December
TOTAL,,2022,"1,455,393","122,723","100,940","109,113","105,708","109,537","113,067","121,649","126,775","143,235","137,773","135,163","129,710"
NATIONAL CAPITAL REGION (NCR),Region,2022,"160,132","13,254","11,025","11,533","11,641","12,661","13,019","13,358","14,444","15,610","15,635","14,243","13,709"
City of Caloocan,City,2022,"21,373","1,750","1,484","1,497","1,516","1,668","1,765","1,742","1,994","2,107","2,056","1,926","1,868"
City of Las Piñas,City,2022,"7,261",578,481,553,551,563,543,653,632,730,660,666,651
City of Makati,City,2022,"5,398",434,384,423,387,379,388,469,479,529,544,511,471
City of Malabon,City,2022,"5,073",436,343,367,366,375,402,436,497,499,496,430,426
City of Mandaluyong,City,2022,"4,392",375,280,306,324,363,324,393,429,439,412,372,375
City of Manila,City,2022,"23,147","1,846","1,528","1,714","1,681","1,848","1,913","1,895","2,086","2,137","2,306","2,098","2,095"
City of Marikina,City,2022,"5,296",450,389,391,433,406,456,320,302,564,546,511,528
City of Muntinlupa,City,2022,"5,876",494,405,399,403,508,484,525,510,577,581,496,494
City of Navotas,City,2022,"3,564",299,226,253,261,269,305,291,308,327,381,308,336
City of Parañaque,City,2022,"8,080",666,564,553,572,682,653,671,737,765,744,764,709
Pasay City,City,2022,"4,773",373,345,316,331,391,368,386,438,436,489,483,417
City of Pasig,City,2022,"10,369",823,714,705,778,780,810,873,910,"1,088","1,001",967,920
Quezon City,City,2022,"33,630","2,816","2,328","2,468","2,425","2,623","2,738","2,832","3,077","3,186","3,150","3,045","2,942"
City of San Juan,City,2022,"1,142",102,69,95,79,107,101,98,110,118,94,74,95
City of Taguig,City,2022,"11,551","1,050",869,844,856,976,"1,023","1,030","1,068","1,212","1,242",762,619
City of Valenzuela,City,2022,"8,515",701,564,591,621,668,699,691,806,828,865,763,718
Pateros,City,2022,692,61,52,58,57,55,47,53,61,68,68,67,45
CORDILLERA ADMINISTRATIVE REGION (CAR),Region,2022,"24,820","2,155","1,866","2,013","1,947","1,887","1,820","2,065","2,252","2,407","1,757","2,323","2,328"
ABRA,Province,2022,"2,789",211,191,195,204,185,186,217,248,333,284,274,261
APAYAO,Province,2022,"1,851",153,125,143,127,147,123,142,183,193,183,170,162
BENGUET,Province,2022,"5,948",542,483,563,473,493,430,487,549,463,263,609,593
IFUGAO,Province,2022,"3,327",266,271,239,287,252,237,276,259,340,321,297,282
KALINGA,Province,2022,"3,964",359,273,287,285,257,311,316,371,447,374,347,337
MOUNTAIN PROVINCE,Province,2022,"2,473",219,182,213,177,168,199,213,200,249,202,222,229
CITY OF BAGUIO,Province,2022,"4,468",405,341,373,394,385,334,414,442,382,130,404,464
REGION I (ILOCOS REGION),Region,2022,"63,240","5,525","4,473","4,909","4,718","4,537","4,719","4,778","3,333","6,784","7,018","6,448","5,998"
ILOCOS NORTE,Province,2022,"6,660",552,478,472,424,454,512,523,645,742,711,618,529
ILOCOS SUR,Province,2022,"7,371",626,453,592,537,499,495,615,675,667,792,707,713
LA UNION,Province,2022,"8,905",777,652,720,713,660,673,784,803,586,938,831,768
PANGASINAN,Province,2022,"40,304","3,570","2,890","3,125","3,044","2,924","3,039","2,856","1,210","4,789","4,577","4,292","3,988"
REGION II (CAGAYAN VALLEY),Region,2022,"48,798","4,001","3,376","3,672","3,382","3,269","3,340","4,042","4,531","5,168","4,875","4,653","4,489"
BATANES,Province,2022,237,25,21,13,18,20,19,22,21,9,21,28,20
CAGAYAN,Province,2022,"15,504","1,303","1,023","1,154","1,047",975,"1,088","1,252","1,458","1,692","1,566","1,542","1,404"
ISABELA,Province,2022,"22,319","1,792","1,547","1,647","1,470","1,466","1,463","1,895","2,118","2,396","2,312","2,114","2,099"
NUEVA VIZCAYA,Province,2022,"7,528",634,559,609,585,578,553,614,637,747,694,662,656
QUIRINO,Province,2022,"3,210",247,226,249,262,230,217,259,297,324,282,307,310
REGION III (CENTRAL LUZON),Region,2022,"170,318","14,213","11,492","12,753","11,825","12,322","12,725","14,606","15,779","17,284","16,544","15,868","14,907"
AURORA,Province,2022,"3,185",303,223,260,230,245,246,317,241,308,199,274,339
BATAAN,Province,2022,"12,435",947,788,926,844,902,910,"1,070","1,176","1,372","1,243","1,186","1,071"
BULACAN,Province,2022,"49,094","4,132","3,295","3,518","3,386","3,662","3,778","4,218","4,614","4,842","4,806","4,586","4,257"
NUEVA ECIJA,Province,2022,"31,088","2,697","2,100","2,373","2,265","2,321","2,250","2,722","2,840","3,063","2,928","2,873","2,656"
PAMPANGA,Province,2022,"35,439","2,900","2,481","2,753","2,352","2,457","2,734","2,997","3,308","3,606","3,487","3,288","3,076"
TARLAC,Province,2022,"20,433","1,724","1,336","1,492","1,422","1,382","1,477","1,656","1,922","2,159","2,047","1,959","1,857"
ZAMBALES,Province,2022,"9,295",764,615,691,642,642,651,796,830,"1,002",944,880,838
CITY OF ANGELES,City,2022,"6,428",482,451,530,468,511,475,569,577,614,613,571,567
CITY OF OLONGAPO,City,2022,"2,921",264,203,210,216,200,204,261,271,318,277,251,246
REGION IV-A (CALABARZON),Region,2022,"216,792","18,273","14,807","15,704","14,545","15,045","17,106","18,488","20,106","22,194","20,848","20,390","19,286"
BATANGAS,Province,2022,"37,410","3,307","2,668","2,771","2,239","1,728","2,959","3,373","3,668","4,024","3,619","3,552","3,502"
CAVITE,Province,2022,"56,534","4,614","3,737","3,996","3,825","4,135","4,414","4,892","5,236","5,720","5,479","5,425","5,061"
LAGUNA,Province,2022,"44,444","3,730","2,972","3,257","3,006","3,347","3,476","3,720","4,122","4,475","4,204","4,197","3,938"
QUEZON,Province,2022,"28,477","2,360","1,936","1,968","1,957","2,121","2,157","2,342","2,602","3,001","2,764","2,735","2,534"
RIZAL,Province,2022,"45,622","3,901","3,178","3,407","3,249","3,361","3,718","3,803","4,077","4,524","4,395","4,096","3,913"
CITY OF LUCENA,City,2022,"4,305",361,316,305,269,353,382,358,401,450,387,385,338
MIMAROPA REGION,Region,2022,"41,158","3,732","2,988","3,208","3,143","3,178","3,039","3,223","3,632","3,977","3,966","3,872","3,200"
MARINDUQUE,Province,2022,"2,942",258,197,212,209,214,230,246,267,321,300,290,198
OCCIDENTAL MINDORO,Province,2022,"7,607",735,565,606,551,566,523,580,689,770,721,657,644
ORIENTAL MINDORO,Province,2022,"12,654","1,065",845,899,856,957,926,974,"1,108","1,197","1,298","1,342","1,187"
PALAWAN,Province,2022,"11,058","1,046",881,893,975,929,868,921,974,937,997,955,682
ROMBLON,Province,2022,"3,895",305,247,297,262,276,256,277,337,426,432,394,386
CITY OF PUERTO PRINCESA,City,2022,"3,002",323,253,301,290,236,236,225,257,326,218,234,103
REGION V (BICOL REGION),Region,2022,"96,962","8,150","6,320","6,744","6,747","7,113","7,139","7,994","8,799","10,180","9,760","9,157","8,859"
ALBAY,Province,2022,"20,863","1,776","1,370","1,382","1,536","1,517","1,500","1,771","1,933","2,177","2,067","1,915","1,919"
CAMARINES NORTE,Province,2022,"11,225",929,729,736,800,860,853,979,"1,026","1,093","1,150","1,092",978
CAMARINES SUR,Province,2022,"32,899","2,794","2,147","2,300","2,211","2,390","2,428","2,655","2,966","3,502","3,290","3,134","3,082"
CATANDUANES,Province,2022,"4,247",303,291,312,289,333,297,321,376,461,471,405,388
MASBATE,Province,2022,"14,480","1,221",915,"1,049",998,"1,019","1,093","1,236","1,341","1,556","1,450","1,353","1,249"
SORSOGON,Province,2022,"13,248","1,127",868,965,913,994,968,"1,032","1,157","1,391","1,332","1,258","1,243"
REGION VI (WESTERN VISAYAS),Region,2022,"89,901","7,485","6,091","6,748","6,560","6,550","6,431","7,219","7,929","9,412","8,759","8,411","8,306"
AKLAN,Province,2022,"7,148",576,465,545,497,510,535,597,567,727,726,700,703
ANTIQUE,Province,2022,"6,504",517,462,535,512,475,468,528,549,648,616,575,619
CAPIZ,Province,2022,"9,394",766,619,687,653,699,690,744,834,982,940,917,863
GUIMARAS,Province,2022,"2,339",192,157,168,170,157,133,197,204,269,216,241,235
ILOILO,Province,2022,"23,333","1,932","1,457","1,670","1,657","1,612","1,677","1,945","2,152","2,467","2,340","2,230","2,194"
NEGROS OCCIDENTAL,Province,2022,"31,109","2,659","2,225","2,419","2,324","2,298","2,176","2,405","2,733","3,293","2,977","2,816","2,784"
CITY OF BACOLOD,City,2022,"5,096",410,366,379,360,392,381,409,424,523,477,497,478
CITY OF ILOILO,City,2022,"4,978",433,340,345,387,407,371,394,466,503,467,435,430
REGION VII (CENTRAL VISAYAS),Region,2022,"119,291","9,934","8,320","8,846","8,407","8,822","9,449","10,148","10,223","11,693","11,648","11,133","10,668"
BOHOL,Province,2022,"17,556","1,468","1,173","1,317","1,263","1,239","1,286","1,463","1,498","1,761","1,793","1,644","1,651"
CEBU,Province,2022,"50,324","4,144","3,488","3,665","3,406","3,740","4,144","4,329","4,267","4,918","4,926","4,796","4,501"
NEGROS ORIENTAL,Province,2022,"20,916","1,820","1,493","1,665","1,628","1,631","1,566","1,717","1,761","1,988","1,939","1,855","1,853"
SIQUIJOR,Province,2022,"1,119",104,103,87,76,71,71,96,100,97,106,108,100
CITY OF CEBU,City,2022,"15,461","1,224","1,074","1,168","1,133","1,177","1,246","1,300","1,346","1,514","1,504","1,415","1,360"
CITY OF LAPU-LAPU,City,2022,"8,163",704,571,552,516,566,665,749,748,812,817,767,696
CITY OF MANDAUE,City,2022,"5,752",470,418,392,385,398,471,494,503,603,563,548,507
REGION VIII (EASTERN VISAYAS),Region,2022,"62,753","5,381","4,481","4,626","4,698","4,906","5,132","5,601","5,690","5,593","5,263","5,815","5,567"
BILIRAN,Province,2022,"2,925",226,204,180,242,226,235,245,259,289,296,262,261
EASTERN SAMAR,Province,2022,"6,745",594,470,441,514,540,550,648,598,627,618,586,559
LEYTE,Province,2022,"24,666","2,164","1,852","1,901","1,857","1,904","2,025","2,211","2,209","2,103","1,887","2,324","2,229"
NORTHERN SAMAR,Province,2022,"8,407",664,578,619,633,651,719,709,820,826,672,750,766
SAMAR,Province,2022,"12,077","1,001",805,855,847,960,980,"1,079","1,076","1,128","1,112","1,109","1,125"
SOUTHERN LEYTE,Province,2022,"4,604",414,325,371,371,333,325,400,413,462,453,435,302
CITY OF TACLOBAN,City,2022,"3,329",318,247,259,234,292,298,309,315,158,225,349,325
REGION IX (ZAMBOANGA PENINSULA),Region,2022,"56,407","4,533","3,800","4,458","4,501","4,530","4,397","4,591","4,775","5,244","5,294","5,217","5,067"
ZAMBOANGA DEL NORTE,Province,2022,"15,629","1,278","1,081","1,238","1,224","1,247","1,161","1,244","1,359","1,437","1,476","1,462","1,422"
ZAMBOANGA DEL SUR,Province,2022,"15,343","1,230","1,023","1,201","1,231","1,224","1,209","1,349","1,250","1,449","1,473","1,371","1,333"
ZAMBOANGA SIBUGAY,Province,2022,"10,439",836,712,832,843,811,838,843,877,977,920,971,979
CITY OF ISABELA,City,2022,"1,271",114,87,104,105,114,99,84,111,120,120,96,117
CITY OF ZAMBOANGA,City,2022,"13,725","1,075",897,"1,083","1,098","1,134","1,090","1,071","1,178","1,261","1,305","1,317","1,216"
REGION X (NORTHERN MINDANAO),Region,2022,"79,433","6,662","5,562","6,042","5,675","6,344","6,655","6,655","6,352","7,528","7,252","7,292","7,414"
