PLACE OF OCCURENCE,Type of Place,Year,Total,January,February,March,April,May,June,July,August,September,October,November,December
TOTAL,,2022,"449,428","32,505","52,426","43,005","44,600","37,848","41,598","30,085","26,029","30,393","31,478","23,862","55,599"
NATIONAL CAPITAL REGION (NCR),Region,2022,"54,629","2,822","9,032","5,330","4,047","3,803","4,456","3,854","3,660","3,908","3,965","3,365","6,387"
City of Caloocan,City,2022,"5,609",313,419,"1,197",425,437,452,372,324,389,389,299,593
City of Las Piñas,City,2022,"2,619",129,152,307,179,196,214,215,158,242,232,225,370
City of Makati,City,2022,"1,996",119,175,177,162,153,196,147,116,173,175,158,245
City of Malabon,City,2022,761,29,62,131,74,49,50,60,48,50,48,50,110
City of Mandaluyong,City,2022,"1,143",32,191,225,120,71,80,46,63,67,60,89,99
City of Manila,City,2022,"8,935",605,967,769,725,723,749,738,619,666,695,578,"1,101"
City of Marikina,City,2022,"1,648",74,118,136,153,131,169,140,108,131,121,144,223
City of Muntinlupa,City,2022,"1,550",96,142,125,123,114,133,103,115,113,123,113,250
City of Navotas,City,2022,400,10,68,41,34,29,71,27,31,33,11,18,27
City of Parañaque,City,2022,"1,875",83,154,144,109,134,212,149,87,175,305,138,185
Pasay City,City,2022,"2,322",118,170,175,178,188,226,195,277,162,180,142,311
City of Pasig,City,2022,"1,883",90,144,129,151,131,222,173,133,170,149,149,242
Quezon City,City,2022,"18,518",862,"5,789","1,102",916,"1,045","1,163","1,141","1,260","1,153","1,118",949,"2,020"
City of San Juan,City,2022,397,16,60,41,29,31,24,25,30,32,29,28,52
City of Taguig,City,2022,"1,535",78,139,126,114,121,171,110,80,119,112,100,265
City of Valenzuela,City,2022,"3,202",159,234,488,538,239,303,191,186,216,203,174,271
Pateros,City,2022,236,9,48,17,17,11,21,22,25,17,15,11,23
CORDILLERA ADMINISTRATIVE REGION (CAR),Region,2022,"9,844",753,853,"1,115","1,725",835,661,573,542,447,550,446,"1,344"
ABRA,Province,2022,"1,370",74,150,217,302,124,56,49,37,41,35,41,244
APAYAO,Province,2022,727,37,91,59,189,54,79,29,29,21,19,8,112
BENGUET,Province,2022,"2,665",329,135,352,394,193,191,181,157,123,167,149,294
IFUGAO,Province,2022,"1,075",55,151,136,202,80,63,64,54,47,73,49,101
KALINGA,Province,2022,"1,299",88,112,99,271,156,74,63,75,47,59,41,214
MOUNTAIN PROVINCE,Province,2022,783,71,44,76,133,68,47,50,72,37,50,33,102
CITY OF BAGUIO,Province,2022,"1,925",99,170,176,234,160,151,137,118,131,147,125,277
REGION I (ILOCOS REGION),Region,2022,"24,605","2,096","2,680","2,287","3,522","2,074","2,007","1,329","1,054","1,075","1,293","1,124","4,064"
ILOCOS NORTE,Province,2022,"2,869",198,134,259,403,234,305,197,169,183,160,158,469
ILOCOS SUR,Province,2022,"3,707",242,383,218,604,414,317,199,146,134,215,189,646
LA UNION,Province,2022,"3,870",307,519,235,626,356,276,203,154,178,210,188,618
PANGASINAN,Province,2022,"14,159","1,349","1,644","1,575","1,889","1,070","1,109",730,585,580,708,589,"2,331"
REGION II (CAGAYAN VALLEY),Region,2022,"19,073",971,"2,011","1,912","3,980","1,881","1,345","1,064","1,045",895,"1,251",767,"1,951"
BATANES,Province,2022,94,2,4,7,26,7,12,11,9,1,2,4,9
CAGAYAN,Province,2022,"6,151",324,607,574,"1,335",737,518,400,322,254,312,217,551
ISABELA,Province,2022,"8,966",427,"1,041","1,004","1,868",826,559,420,437,384,660,366,974
NUEVA VIZCAYA,Province,2022,"2,604",145,258,254,432,186,174,159,202,205,154,122,313
QUIRINO,Province,2022,"1,258",73,101,73,319,125,82,74,75,51,123,58,104
REGION III (CENTRAL LUZON),Region,2022,"50,633","3,557","6,338","4,646","5,995","4,176","4,531","3,047","2,821","2,810","2,969","2,934","6,809"
AURORA,Province,2022,"1,310",70,268,79,152,105,85,57,54,102,68,47,223
BATAAN,Province,2022,"3,164",249,326,278,293,235,420,203,202,154,239,192,373
BULACAN,Province,2022,"13,056",911,"1,780","1,308","1,368",971,"1,156",728,839,861,851,705,"1,578"
NUEVA ECIJA,Province,2022,"10,320",676,"1,597",747,"1,475",967,911,626,520,489,522,495,"1,295"
PAMPANGA,Province,2022,"10,607",764,"1,024","1,048","1,131",946,912,724,618,637,612,818,"1,373"
TARLAC,Province,2022,"6,937",570,572,633,869,577,636,395,297,308,385,397,"1,298"
ZAMBALES,Province,2022,"2,470",143,531,277,389,159,156,105,86,87,114,79,344
CITY OF ANGELES,City,2022,"1,712",97,153,176,146,144,170,143,125,115,120,132,191
CITY OF OLONGAPO,City,2022,"1,057",77,87,100,172,72,85,66,80,57,58,69,134
REGION IV-A (CALABARZON),Region,2022,"63,838","4,883","6,814","6,367","6,122","5,133","6,124","4,480","2,875","4,525","4,571","3,213","8,731"
BATANGAS,Province,2022,"15,648","1,483","1,448","1,452","1,477","1,419","1,486",985,545,"1,105","1,111",489,"2,648"
CAVITE,Province,2022,"15,390","1,011","2,023","1,492","1,220","1,143","1,397","1,019",800,"1,102","1,083",968,"2,132"
LAGUNA,Province,2022,"12,407",901,"1,313","1,435","1,170",842,"1,322","1,058",596,789,840,563,"1,578"
QUEZON,Province,2022,"8,267",660,899,821,"1,180",790,904,572,250,545,602,307,737
RIZAL,Province,2022,"11,085",754,"1,100","1,078",954,823,908,738,648,901,836,829,"1,516"
CITY OF LUCENA,City,2022,"1,041",74,31,89,121,116,107,108,36,83,99,57,120
MIMAROPA REGION,Region,2022,"14,323",824,"1,758","1,329","1,714","1,853","1,121",880,670,956,823,631,"1,764"
MARINDUQUE,Province,2022,940,90,34,102,92,184,101,64,27,43,34,44,125
OCCIDENTAL MINDORO,Province,2022,"2,312",123,534,158,493,241,128,69,55,90,78,99,244
ORIENTAL MINDORO,Province,2022,"4,289",235,342,416,454,888,367,250,140,270,312,151,464
PALAWAN,Province,2022,"4,167",234,534,422,416,332,261,240,293,401,258,237,539
ROMBLON,Province,2022,"1,308",63,200,104,147,121,120,168,50,37,45,35,218
CITY OF PUERTO PRINCESA,City,2022,"1,307",79,114,127,112,87,144,89,105,115,96,65,174
REGION V (BICOL REGION),Region,2022,"28,595","2,019","3,079","2,788","3,706","2,444","3,125","1,524","1,412","1,580","1,984","1,069","3,865"
ALBAY,Province,2022,"6,319",583,589,669,709,394,809,264,238,318,530,170,"1,046"
CAMARINES NORTE,Province,2022,"2,752",141,317,160,394,189,356,213,218,166,167,125,306
