"REGION, PROVINCE, AND HIGHLY URBANIZED CITY",Type of Place,Total Population - 2020,Total Population - 2015,Urban Population - 2020,Urban Population - 2015,Percent Urban - 2020,Percent Urban - 2015
PHILIPPINES,,"109,033,245","100,979,303","58,930,729",51728697,54,51.2
NATIONAL CAPITAL REGION (NCR),Region,"13,484,462","12,877,253","13,484,462",12877253,100,100
City of Manila,City,"1,846,513","1,780,148","1,846,513",1780148,100,100
City of Mandaluyong,City,"425,758","386,276","425,758",386276,100,100
City of Marikina,City,"456,059","450,741","456,059",450741,100,100
City of Pasig,City,"803,159","755,300","803,159",755300,100,100
Quezon City,City,"2,960,048","2,936,116","2,960,048",2936116,100,100
City of San Juan,City,"126,347","122,180","126,347",122180,100,100
City of Caloocan,City,"1,661,584","1,583,978","1,661,584",1583978,100,100
City of Malabon,City,"380,522","365,525","380,522",365525,100,100
City of Navotas,City,"247,543","249,463","247,543",249463,100,100
City of Valenzuela,City,"714,978","620,422","714,978",620422,100,100
City of Las Piñas,City,"606,293","588,894","606,293",588894,100,100
City of Makati,City,"629,616","582,602","629,616",582602,100,100
City of Muntinlupa,City,"543,445","504,509","543,445",504509,100,100
City of Parañaque,City,"689,992","665,822","689,992",665822,100,100
Pasay City,City,"440,656","416,522","440,656",416522,100,100
City of Taguig,City,"886,722","804,915","886,722",804915,100,100
Municipality of Pateros,Municipality,"65,227","63,840","65,227",63840,100,100
CORDILLERA ADMINISTRATIVE REGION (CAR),Region,"1,797,660","1,722,006","598,688",524672,33.3,30.5
Abra,Province,"250,985","241,160","16,186",10393,6.4,4.3
Apayao,Province,"124,366","119,184","1,063",-,0.9,-
Benguet,Province,"460,683","446,224","260,130",239459,56.5,53.7
City of Baguio,Province,"366,358","345,366","236,926",215641,64.7,62.4
Ifugao,Province,"207,498","202,802","16,691",5111,8,2.5
Kalinga,Province,"229,570","212,680","48,601",37655,21.2,17.7
Mountain Province,Province,"158,200","154,590","19,091",16413,12.1,10.6
REGION I (ILOCOS REGION),,"5,301,139","5,026,128","1,351,205",1029562,25.5,20.5
Ilocos Norte,,"609,588","593,081","66,677",95574,10.9,16.1
